Country,Issuer Name,Series,Bond_Type,Maturity,TTM,Yield,Swap_Rate,Spread_bps,Coupon,Amount
France,French Republic Government Bond OAT,OAT,Nominal,2035-05-25,11.006160164271048,3.415439124862955,2.8543080082135526,56.11311166494026,3.2,50104000000.0
France,French Republic Government Bond OAT,OAT,Nominal,2034-11-25,10.510609171800137,3.349525622275655,2.8270835044490075,52.24421178266474,3.0,43751000000.0
France,French Republic Government Bond OAT,OAT,Nominal,2072-05-25,48.0082135523614,4.173500815607177,3.050552361396304,112.2948454210873,0.5,14472000000.0
France,French Republic Government Bond OAT,OAT,Nominal,2055-05-25,31.006160164271048,4.370369538771206,3.1248809034907596,124.54886352804459,3.25,24174000000.0
France,French Republic Government Bond OAT,OAT,Nominal,2056-05-25,32.0082135523614,4.398196240067657,3.1217745379876796,127.64217020799774,3.75,19478000000.0
France,French Republic Government Bond OAT,OAT,Nominal,2029-02-25,4.763860369609857,2.4622365993589326,2.4346365503080083,2.760004905092428,2.75,58225000000.0
France,French Republic Government Bond OAT,OAT,Nominal,2033-11-25,9.51129363449692,3.2107126374183688,2.7701663244353183,44.05463129830505,3.5,55439000000.0
France,French Republic Government Bond OAT,OAT,Nominal,2031-02-25,6.76249144421629,2.801641955551989,2.5874243668720056,21.421758867998353,2.7,38875000000.0
France,French Republic Government Bond OAT,OAT,Nominal,2030-02-25,5.763175906913073,2.634399563904919,2.5127645448323066,12.163501907261232,2.75,56570000000.0
France,French Republic Government Bond OAT,OAT,Nominal,2054-05-25,30.00684462696783,4.3575153858641755,3.1279787816563998,122.95366042077758,3.0,25978000000.0
France,French Republic Government Bond OAT,OAT,Nominal,2026-09-24,2.3408624229979464,2.101433230456708,2.2269733059548256,-12.554007549811752,2.5,27651000000.0
France,French Republic Government Bond OAT,OAT,Nominal,2033-05-25,9.007529089664613,3.138446715856786,2.7404442162902125,39.80024995665734,3.0,45720000000.0
France,French Republic Government Bond OAT,OAT,Nominal,2040-05-25,16.008213552361397,3.8856358492070036,3.036147843942505,84.94880052644986,0.5,34330000000.0
France,French Republic Government Bond OAT,OAT,Nominal,2028-09-24,4.342231348391513,2.389216429822464,2.4000629705681042,-1.0846540745640176,2.4,44383000000.0
France,French Republic Government Bond OAT,OAT,Nominal,2027-09-24,3.3401779603011637,2.2037666634258066,2.3132758384668035,-10.950917504099689,2.5,44301000000.0
France,French Republic Government Bond OAT,OAT,Nominal,2034-05-25,10.00684462696783,3.298042573100083,2.7993764544832307,49.86661186168524,1.25,65035000000.0
France,French Republic Government Bond OAT,OAT,Nominal,2042-05-25,18.00684462696783,3.981718772211387,3.072123203285421,90.95955689259662,3.6,17572000000.0
France,French Republic Government Bond OAT,OAT,Nominal,2035-04-25,10.924024640657084,3.3758361783182727,2.8498213552361396,52.601482308213306,4.75,35936000000.0
France,French Republic Government Bond OAT,OAT,Nominal,2032-11-25,8.511978097193703,3.064949005310616,2.708766598220397,35.61824070902189,2.0,56408000000.0
France,French Republic Government Bond OAT,OAT,Nominal,2031-11-25,7.509924709103354,2.9072217618808516,2.641204654346338,26.601710753451346,0.0,59865000000.0
France,French Republic Government Bond OAT,OAT,Nominal,2028-05-25,4.008213552361396,2.32649079051342,2.3726735112936344,-4.618272078021457,0.75,67202000000.0
France,French Republic Government Bond OAT,OAT,Nominal,2043-05-25,19.006160164271048,4.027259627401644,3.090110882956879,93.71487444447655,2.5,25939000000.0
France,French Republic Government Bond OAT,OAT,Nominal,2038-05-25,14.00684462696783,3.7468713715187363,2.9802600958247774,76.66112756939589,1.25,33712000000.0
France,French Republic Government Bond OAT,OAT,Nominal,2029-05-25,5.007529089664613,2.502388941962272,2.4545797399041756,4.780920205809647,0.5,58805000000.0
France,French Republic Government Bond OAT,OAT,Nominal,2032-05-25,8.008213552361397,2.9919032023737246,2.6765256673511297,31.53775350225949,0.0,47745000000.0
France,French Republic Government Bond OAT,OAT,Nominal,2028-11-25,4.511978097193703,2.4131614351243167,2.4139822039698835,-0.08207688455668105,0.75,62095000000.0
France,French Republic Government Bond OAT,OAT,Nominal,2030-05-25,6.006844626967831,2.654008641819947,2.5315065023956196,12.250213942432753,2.5,70882000000.0
France,French Republic Government Bond OAT,OAT,Nominal,2029-11-25,5.51129363449692,2.573012623853743,2.493369609856263,7.964301399747997,0.0,49931000000.0
France,French Republic Government Bond OAT,OAT,Nominal,2026-02-25,1.7631759069130732,2.0798179408157536,2.1790540725530456,-9.923613173729207,0.0,33144500000.0
France,French Republic Government Bond OAT,OAT,Nominal,2027-02-25,2.7624914442162902,2.135782254148455,2.2628117727583845,-12.70295186099295,0.0,45860000000.0
France,French Republic Government Bond OAT,OAT,Nominal,2045-05-25,21.00752908966461,4.07364427554681,3.1124331279945245,96.12111475522855,3.25,31657000000.0
France,French Republic Government Bond OAT,OAT,Nominal,2036-05-25,12.008213552361397,3.5522738670286342,2.904312114989733,64.79617520389014,1.25,59448000000.0
France,French Republic Government Bond OAT,OAT,Nominal,2039-06-25,15.091033538672143,3.7835177219690994,3.0196386036960985,76.38791182730009,1.75,36304000000.0
France,French Republic Government Bond OAT,OAT,Nominal,2053-05-25,29.00752908966461,4.335569295049824,3.128396988364134,120.71723066856902,0.75,33416000000.0
France,French Republic Government Bond OAT,OAT,Nominal,2027-10-25,3.4250513347022586,2.2163369478562545,2.320829568788501,-10.449262093224654,2.75,61863000000.0
France,French Republic Government Bond OAT,OAT,Nominal,2049-06-25,25.09240246406571,4.206811401469678,3.1299630390143736,107.68483624553045,3.0,16443000000.0
France,French Republic Government Bond OAT,OAT,Nominal,2060-04-25,35.92607802874743,4.433663217309474,3.109629158110883,132.40340591985907,4.0,22843000000.0
France,French Republic Government Bond OAT,OAT,Nominal,2031-05-25,7.006160164271047,2.8264734502582116,2.6054373716632444,22.10360785949672,1.5,68285000000.0
France,French Republic Government Bond OAT,OAT,Nominal,2028-02-25,3.761806981519507,2.283370359362481,2.350800821355236,-6.743046199275504,0.75,51553000000.0
France,French Republic Government Bond OAT,OAT,Nominal,2030-11-25,6.510609171800137,2.7471229972529487,2.5687850787132103,17.833791853973846,0.0,58857000000.0
France,French Republic Government Bond OAT,OAT,Nominal,2026-05-25,2.00684462696783,2.0677472032665776,2.1985817932922656,-13.083459002568798,0.5,33277000000.0
France,French Republic Government Bond OAT,OAT,Nominal,2044-06-25,20.093086926762492,4.049542735843007,3.108409582477755,94.11331533652518,0.5,26192000000.0
France,French Republic Government Bond OAT,OAT,Nominal,2026-11-25,2.510609171800137,2.1140841517142057,2.2414017796030117,-12.731762788880596,0.25,36988000000.0
France,French Republic Government Bond OAT,OAT,Nominal,2032-10-25,8.427104722792608,3.0255931893049586,2.703334702258727,32.22584870462315,5.75,35192322600.0
France,French Republic Government Bond OAT,OAT,Nominal,2026-04-25,1.9247091033538672,2.0749354411802825,2.191976728268309,-11.704128708802664,3.5,32113500000.0
France,French Republic Government Bond OAT,OAT,Nominal,2041-04-25,16.92539356605065,3.8834706673977966,3.052657084188912,83.08135832088848,4.5,40476000000.0
France,French Republic Government Bond OAT,OAT,Nominal,2055-04-25,30.924024640657084,4.34084692415102,3.125135523613963,121.57114005370566,4.0,23988000000.0
France,French Republic Government Bond OAT,OAT,Nominal,2029-04-25,4.9253935660506505,2.4854665320085685,2.4478822724161535,3.758425959241496,5.5,44514880462.0
France,French Republic Government Bond OAT,OAT,Nominal,2050-05-25,26.00684462696783,4.266587806819051,3.129597262149213,113.69905446698381,1.5,34348000000.0
France,French Republic Government Bond OAT,OAT,Nominal,2052-05-25,28.008213552361397,4.309735118732369,3.1287967145790554,118.09384041533133,0.75,33622000000.0
France,French Republic Government Bond OAT,OAT,Nominal,2066-05-25,42.00684462696783,4.426728231830955,3.0853603011635866,134.13679306673686,1.75,18394000000.0
France,French Republic Government Bond OAT,OAT,Nominal,2027-05-25,3.0061601642710474,2.1555055733321886,2.2835482546201233,-12.804268128793472,1.0,44164000000.0
France,French Republic Government Bond OAT,OAT,Nominal,2038-10-25,14.425735797399042,3.7299676000990125,2.9961779603011633,73.37896397978491,4.0,27913000000.0
France,French Republic Government Bond OAT,OAT,Nominal,2048-05-25,24.008213552361397,4.193483732927681,3.12563613963039,106.78475932972908,2.0,30644000000.0
France,French Republic Government Bond OAT,OAT,Nominal,2035-11-25,11.509924709103354,3.4812293747011482,2.879496235455168,60.173313924598034,3.5,22072000000.0
Allemagne,Bundesrepublik Deutschland Bundesanleihe,#N/A Field Not Applicable,Nominal,2034-08-15,10.231348391512663,2.6810401921682008,2.8117241615331965,-13.068396936499571,2.6,37891000000.0
Allemagne,Bundesrepublik Deutschland Bundesanleihe,TWIN,Nominal,2035-02-15,10.735112936344969,2.719405363029422,2.8394312114989733,-12.002584846955111,2.5,35857500000.0
Allemagne,Bundesrepublik Deutschland Bundesanleihe,#N/A Field Not Applicable,Nominal,2035-08-15,11.23066392881588,2.7554365369206812,2.865533196440794,-11.009665952011272,2.6,39446250000.0
Allemagne,Bundesrepublik Deutschland Bundesanleihe,#N/A Field Not Applicable,Nominal,2054-08-15,30.23134839151266,3.379977270750253,3.127282819986311,25.269445076394213,2.5,28490150000.0
Allemagne,Bundesrepublik Deutschland Bundesanleihe,#N/A Field Not Applicable,Nominal,2034-02-15,9.735797399041752,2.644960440027608,2.7834120465434635,-13.845160651585564,2.2,38325000000.0
Allemagne,Bundesrepublik Deutschland Bundesanleihe,#N/A Field Not Applicable,Nominal,2033-08-15,9.232032854209445,2.598180522783407,2.7536899383983573,-15.550941561495035,2.6,34278950000.0
Allemagne,Bundesrepublik Deutschland Bundesanleihe,#N/A Field Not Applicable,Nominal,2056-08-15,32.23271731690623,3.3890600827131303,3.121078576317591,26.798150639553953,2.9,19632600000.0
Allemagne,Bundesrepublik Deutschland Bundesanleihe,TWIN,Nominal,2031-08-15,7.230663928815879,2.3943447758046243,2.6213771389459275,-22.703236314130315,0.0,38000000000.0
Allemagne,Bundesrepublik Deutschland Bundesanleihe,#N/A Field Not Applicable,Nominal,2052-08-15,28.23271731690623,3.391652593439498,3.1287069130732377,26.294568036626043,0.0,40775550000.0
Allemagne,Bundesrepublik Deutschland Bundesanleihe,#N/A Field Not Applicable,Nominal,2046-08-15,22.23134839151266,3.277159931965392,3.1178179329226556,15.93419990427365,2.5,50054000000.0
Allemagne,Bundesrepublik Deutschland Bundesanleihe,#N/A Field Not Applicable,Nominal,2032-08-15,8.232717316906228,2.4910427089563867,2.690893908281999,-19.985119932561226,1.7,28467600000.0
Allemagne,Bundesrepublik Deutschland Bundesanleihe,#N/A Field Not Applicable,Nominal,2026-02-15,1.7357973990417521,1.842586212062236,2.1768637919233402,-33.42775798611042,0.5,36685850000.0
Allemagne,Bundesrepublik Deutschland Bundesanleihe,TWIN,Nominal,2033-02-15,8.736481861738536,2.553141786287181,2.7231348391512666,-16.999305286408585,2.3,41417100000.0
Allemagne,Bundesrepublik Deutschland Bundesanleihe,TWIN,Nominal,2030-08-15,6.231348391512663,2.2951877492863426,2.548119780971937,-25.29320316855945,0.0,37496550000.0
Allemagne,Bundesrepublik Deutschland Bundesanleihe,TWIN,Nominal,2050-08-15,26.23134839151266,3.38542376528157,3.129507460643395,25.591630463817516,0.0,50682450000.0
Allemagne,Bundesrepublik Deutschland Bundesanleihe,#N/A Field Not Applicable,Nominal,2029-08-15,5.232032854209446,2.2046831973059566,2.4718665297741276,-26.718333246817096,0.0,33240600000.0
Allemagne,Bundesrepublik Deutschland Bundesanleihe,#N/A Field Not Applicable,Nominal,2031-02-15,6.7351129363449695,2.3459664343116415,2.585398357289528,-23.943192297788627,0.0,34241200000.0
Allemagne,Bundesrepublik Deutschland Bundesanleihe,#N/A Field Not Applicable,Nominal,2044-07-04,20.11772758384668,3.2382286380552796,3.1085180013689255,12.971063668635407,2.5,45733200000.0
Allemagne,Bundesrepublik Deutschland Bundesanleihe,TWIN,Nominal,2053-08-15,29.232032854209447,3.380624992884267,3.1283071868583163,25.231780602595055,1.8,33017600000.0
Allemagne,Bundesrepublik Deutschland Bundesanleihe,#N/A Field Not Applicable,Nominal,2029-11-15,5.4839151266255985,2.2527408416310544,2.4912614647501714,-23.852062311911702,2.1,25487800000.0
Allemagne,Bundesrepublik Deutschland Bundesanleihe,#N/A Field Not Applicable,Nominal,2027-02-15,2.735112936344969,1.9972556371897605,2.260484599589322,-26.32289623995616,0.25,32442850000.0
Allemagne,Bundesrepublik Deutschland Bundesanleihe,#N/A Field Not Applicable,Nominal,2028-02-15,3.7344284736481863,2.035767379607314,2.3483641341546884,-31.259675454737447,0.5,34584750000.0
Allemagne,Bundesrepublik Deutschland Bundesanleihe,#N/A Field Not Applicable,Nominal,2032-02-15,7.734428473648186,2.451603830700533,2.657144421629021,-20.554059092848842,0.0,35206700000.0
Allemagne,Bundesrepublik Deutschland Bundesanleihe,#N/A Field Not Applicable,Nominal,2029-02-15,4.736481861738535,2.144116271135833,2.43239151266256,-28.827524152672712,0.25,33874850000.0
Allemagne,Bundesrepublik Deutschland Bundesanleihe,#N/A Field Not Applicable,Nominal,2035-05-15,10.978781656399725,2.7672095548224585,2.852832991101985,-8.562343627952673,0.0,25702250000.0
Allemagne,Bundesrepublik Deutschland Bundesanleihe,#N/A Field Not Applicable,Nominal,2026-08-15,2.2313483915126624,1.964293617542809,2.2176646132785764,-25.33709957357675,0.0,35951500000.0
Allemagne,Bundesrepublik Deutschland Bundesanleihe,#N/A Field Not Applicable,Nominal,2038-05-15,13.979466119096509,3.003492205223345,2.979219712525667,2.427249269767806,1.0,32965625000.0
Allemagne,Bundesrepublik Deutschland Bundesanleihe,#N/A Field Not Applicable,Nominal,2030-02-15,5.735797399041752,2.253240648535404,2.5106563997262152,-25.741575119081126,0.0,31141600000.0
Allemagne,Bundesrepublik Deutschland Bundesanleihe,#N/A Field Not Applicable,Nominal,2041-05-15,16.980150581793293,3.1464604551882873,3.053642710472279,9.281774471600812,2.6,19155600000.0
Allemagne,Bundesrepublik Deutschland Bundesanleihe,#N/A Field Not Applicable,Nominal,2036-05-15,11.980835044490075,2.8536211310498993,2.9030417522245036,-4.942062117460422,0.0,32460200000.0
Allemagne,Bundesrepublik Deutschland Bundesanleihe,#N/A Field Not Applicable,Nominal,2028-08-15,4.232717316906228,2.081836501510569,2.391082819986311,-30.92463184757417,0.25,33270900000.0
Allemagne,Bundesrepublik Deutschland Bundesanleihe,#N/A Field Not Applicable,Nominal,2027-08-15,3.2306639288158796,2.03215812193583,2.3035290896646132,-27.137096772878344,0.5,37241750000.0
Allemagne,Bundesrepublik Deutschland Bundesanleihe,G,Nominal,2035-02-15,10.735112936344969,2.707730825744385,2.8394312114989733,-13.17003857545882,2.5,6438275000.0
Allemagne,Bundesrepublik Deutschland Bundesanleihe,#N/A Field Not Applicable,Nominal,2030-11-15,6.483230663928816,2.3590000583346975,2.5667590691307325,-20.7759010796035,2.4,30872800000.0
Allemagne,Bundesrepublik Deutschland Bundesanleihe,#N/A Field Not Applicable,Nominal,2042-07-04,18.116358658453116,3.1723103470011873,3.074094455852156,9.821589114903118,3.25,28270000000.0
Allemagne,Bundesrepublik Deutschland Bundesanleihe,#N/A Field Not Applicable,Nominal,2048-08-15,24.23271731690623,3.3310394469425324,3.126623956194387,20.441549074814525,1.25,48974500000.0
Allemagne,Bundesrepublik Deutschland Bundesanleihe,#N/A Field Not Applicable,Nominal,2034-07-04,10.116358658453114,2.633888860832346,2.805399726214921,-17.1510865382575,4.75,26293400000.0
Allemagne,Bundesrepublik Deutschland Bundesanleihe,#N/A Field Not Applicable,Nominal,2039-07-04,15.11567419575633,3.027422558695888,3.0200821355236136,0.7340423172274235,4.25,24857525000.0
Allemagne,Bundesrepublik Deutschland Bundesanleihe,#N/A Field Not Applicable,Nominal,2027-11-15,3.482546201232033,2.0225972547565974,2.325946611909651,-30.334935715305367,0.0,23720400000.0
Allemagne,Bundesrepublik Deutschland Bundesanleihe,#N/A Field Not Applicable,Nominal,2028-11-15,4.484599589322382,2.1010389563391296,2.4117371663244356,-31.069820998530595,0.0,32718600000.0
Allemagne,Bundesrepublik Deutschland Bundesanleihe,#N/A Field Not Applicable,Nominal,2037-01-04,12.621492128678987,2.863733388037052,2.9276167008898013,-6.3883312852749174,4.0,36815400000.0
Allemagne,Bundesrepublik Deutschland Bundesanleihe,G,Nominal,2050-08-15,26.23134839151266,3.362151985351991,3.129507460643395,23.26445247085962,0.0,15576675000.0
Allemagne,Bundesrepublik Deutschland Bundesanleihe,#N/A Field Not Applicable,Nominal,2040-07-04,16.11772758384668,3.068390835648996,3.03811909650924,3.0271739139756004,4.75,36116900000.0
Allemagne,Bundesrepublik Deutschland Bundesanleihe,#N/A Field Not Applicable,Nominal,2027-07-04,3.1156741957563314,2.021536627363449,2.2932950034223136,-27.175837605886464,6.5,
Allemagne,Bundesrepublik Deutschland Bundesanleihe,G,Nominal,2030-08-15,6.231348391512663,2.289857169675491,2.548119780971937,-25.826261129644614,0.0,12984400000.0
Allemagne,Bundesrepublik Deutschland Bundesanleihe,G,Nominal,2033-02-15,8.736481861738536,2.547319591676676,2.7231348391512666,-17.581524747459063,2.3,13256400000.0
Allemagne,Bundesrepublik Deutschland Bundesanleihe,#N/A Field Not Applicable,Nominal,2030-01-04,5.620807665982204,2.2523804965919427,2.50180219028063,-24.942169368868726,6.25,11856925000.0
